101,,
TS: NRA-ILA,TS: WOSU Radio,TS: CBS Denver
procon.org,,
wikipedia.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
122,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
justfacts.com,,
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
123,,
TS: NRA-ILA,TS: WOSU Radio,TS: CBS Denver
procon.org,,
wikipedia.org,,
texastribune.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
justfacts.com,,
chicagotribune.com,,
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
126,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
chicagotribune.com,,
V: Bloomberg,V: New York Times,V: CBS Denver
texastribune.org,,
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
128,,
TS: NRA-ILA,TS: WOSU Radio,TS: CBS Denver
procon.org,,
V: MSN,V: Bloomberg,V: New York Times
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
cfr.org,,
propublica.org,,
nytimes.com,,
huffingtonpost.com,,
npr.org,,
P:,,
,,
129,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: New York Times
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
130-m,,
TS: NRA-ILA,,
TS: WOSU Radio,,
TS: Chicago Tribune,TS: Texas Tribune,TS: RealClearPolitics
W:,,
V: Bloomberg,V: New York Times,V: Bloomberg
procon.org,,
wikipedia.org,,
texastribune.org,,
justfacts.com,,
chicagotribune.com,,
nbcnews.com,,
huffingtonpost.com,,
npr.org,,
P:,,
propublica.org,,
cfr.org,,
smithsonianmag.com,,
,,
131,,
procon.org,,
wikipedia.org,,
justfacts.com,,
chicagotribune.com,,
V: Bloomberg,V: CBS Denver,V: New York Times
texastribune.org,,
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
132,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
chicagotribune.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: Bloomberg
huffingtonpost.com,,
nbcnews.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
133,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: Colion Noir
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
134,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
texastribune.org,,
justfacts.com,,
chicagotribune.com,,
huffingtonpost.com,,
nbcnews.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
allsides.com,,
P:,,
,,
135-m,,
TS: NRA-ILA,,
TS: WOSU Radio,,
TS: Chicago Tribune,TS: Texas Tribune,TS: RealClearPolitics
W:,,
V: Bloomberg,V: New York Times,V: Bloomberg
procon.org,,
wikipedia.org,,
texastribune.org,,
nbcnews.com,,
justfacts.com,,
huffingtonpost.com,,
npr.org,,
P:,,
twitter.com,,
propublica.org,,
cfr.org,,
nytimes.com,,
,,
137,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: Bloomberg
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
138,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
texastribune.org,,
justfacts.com,,
V: Bloomberg,V: CBS Denver,V: New York Times
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
139,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
texastribune.org,,
chicagotribune.com,,
huffingtonpost.com,,
npr.org,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
140,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
chicagotribune.com,,
texastribune.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
huffingtonpost.com,,
nbcnews.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
141,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
V: Bloomberg,V: CBS Denver,V: New York Times
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
143,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: CBS Denver,V: Bloomberg
huffingtonpost.com,,
allsides.com,,
nbcnews.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
146,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
V: Bloomberg,V: CBS Denver,V: New York Times
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
147,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
huffingtonpost.com,,
nbcnews.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
148,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: New York Times
huffingtonpost.com,,
npr.org,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
150-m,,
TS: NRA-ILA,,
TS: WOSU Radio,,
TS: Chicago Tribune,TS: Texas Tribune,TS: RealClearPolitics
wikipedia.org,,
V: Bloomberg,V: New York Times,V: Bloomberg
procon.org,,
wikipedia.org,,
texastribune.org,,
chicagotribune.com,,
nbcnews.com,,
justfacts.com,,
propublica.org,,
cfr.org,,
newyorker.com,,
huffingtonpost.com,,
npr.org,,
P:,,
,,
151,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
justfacts.com,,
chicagotribune.com,,
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
152,,
TS: NRA-ILA,TS: WOSU Radio,TS: CBS Denver
procon.org,,
wikipedia.org,,
justfacts.com,,
chicagotribune.com,,
huffingtonpost.com,,
allsides.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
153,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
V: Bloomberg,V: CBS Denver,V: New York Times
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
157,,
TS: NRA-ILA,TS: WOSU Radio,TS: CBS Denver
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: Bloomberg
cfr.org,,
propublica.org,,
nytimes.com,,
huffingtonpost.com,,
allsides.com,,
P:,,
,,
159,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: New York Times
huffingtonpost.com,,
npr.org,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
160,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
161,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: Bloomberg
huffingtonpost.com,,
chicagotribune.com,,
allsides.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
162,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
chicagotribune.com,,
V: Bloomberg,V: CBS Denver,V: New York Times
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
163,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
chicagotribune.com,,
V: Bloomberg,V: CBS Denver,V: New York Times
texastribune.org,,
huffingtonpost.com,,
allsides.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
164,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
165,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
huffingtonpost.com,,
nbcnews.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
167,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: CBS Denver
huffingtonpost.com,,
nbcnews.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
P:,,
,,
168,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
huffingtonpost.com,,
npr.org,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
169,,
TS: NRA-ILA,TS: WOSU Radio,TS: CBS Denver
procon.org,,
wikipedia.org,,
justfacts.com,,
V: Bloomberg,V: New York Times,V: Bloomberg
texastribune.org,,
huffingtonpost.com,,
chicagotribune.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
170,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
V: Bloomberg,V: CBS Denver,V: Bloomberg
P:,,
justfacts.com,,
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
allsides.com,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
171-m,,
TS: NRA-ILA,,
TS: Chicago Tribune,TS: Texas Tribune,
W:,,
V: Bloomberg,V: New York Times,
procon.org,,
wikipedia.org,,
texastribune.org,,
chicagotribune.com,,
nbcnews.com,,
justfacts.com,,
propublica.org,,
cfr.org,,
newyorker.com,,
huffingtonpost.com,,
npr.org,,
P:,,
,,
172,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
173,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
V: Bloomberg,V: CBS Denver,V: New York Times
justfacts.com,,
texastribune.org,,
huffingtonpost.com,,
nbcnews.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
174,,
TS: NRA-ILA,TS: WOSU Radio,TS: Chicago Tribune
procon.org,,
wikipedia.org,,
chicagotribune.com,,
justfacts.com,,
texastribune.org,,
V: Bloomberg,V: New York Times,V: New York Times
huffingtonpost.com,,
allsides.com,,
P:,,
cfr.org,,
propublica.org,,
nytimes.com,,
,,
175,,
